"productid","actualprice","productdescription","producttitle"
"809","1525","<p><span data-spm-anchor-id=""a2g0o.detail.1000023.i10.3132591fTsnihC"">Type:Bathroom Kit</span></p>
<p><span>Material: Ceramics</span></p>
<p><span>Quantity: 4 PCs</span></p>
<p><span>Package Size: </span></p>
<ul>
<li>Soap Dispenser:<span> </span><span>2.8 X 2.8 X 8""</span>
</li>
<li>Tumbler: 2.8 X 2.8 X 4.3""</li>
<li>Soap Dish: <span>5.5 X 4.3 X 0.6""</span>
</li>
<li>Brush Holder: <span>4.3 X 2.8</span>
</li>
</ul>
<p><span>Weight: 1300 Grams</span></p>","4 PCs Ceramic Bathroom Set - BS0016"
"810","1925","<p><span data-spm-anchor-id=""a2g0o.detail.1000023.i10.3132591fTsnihC"">Type:Bathroom Kit</span></p>
<p><span>Material: Ceramics</span></p>
<p><span>Quantity: 4 PCs</span></p>
<p><span>Package Size: </span></p>
<ul>
<li>Soap Dispenser:<span> </span><span>2.8 X 2.8 X 8""</span>
</li>
<li>Tumbler: 2.8 X 2.8 X 4.3""</li>
<li>Soap Dish: <span>5.5 X 4.3 X 0.6""</span>
</li>
<li>Brush Holder: <span>4.3 X 2.8</span>
</li>
</ul>
<p><span>Weight: 1300 Grams</span></p>","4 PCs Ceramic Bathroom Set - BS0017"
"811","1525","<p><span data-spm-anchor-id=""a2g0o.detail.1000023.i10.3132591fTsnihC"">Type:Bathroom Kit</span></p>
<p><span>Material: Ceramics</span></p>
<p><span>Quantity: 4 PCs</span></p>
<p><span>Package Size: </span></p>
<ul>
<li>Soap Dispenser:<span> </span><span>2.8 X 2.8 X 8""</span>
</li>
<li>Tumbler: 2.8 X 2.8 X 4.3""</li>
<li>Soap Dish: <span>5.5 X 4.3 X 0.6""</span>
</li>
<li>Brush Holder: <span>4.3 X 2.8</span>
</li>
</ul>
<p><span>Weight: 1300 Grams</span></p>","4 PCs Ceramic Bathroom Set - BS0019"
"812","1425","<p><span>The floor carpets not only protect the flooring from damage, but also Add a chic, fresh touch to your favorite room. It is perfect for kitchens, bathrooms, bedrooms, stairs, doorways even more.  </span></p>
<ul>
<li><span>Multi-functional non-slip carpet, thickened encryption, high-tech precision textile. </span></li>
<li><span>Crafted from thick and velvety microfiber chenille, and the velvet height is about 4cm. </span></li>
<li><span>Fast water absorption, absorb oil, prevent contamination of the ground. </span></li>
</ul>
<p><span><strong>Specifications:</strong><br></span></p>
<ul>
<li><span>Material: Cotton Fluff (Polyester)</span></li>
<li><span>Rug Size: 20 x 80 Cm </span></li>
<li><span>Package Weight: 750g </span></li>
</ul>
<p><span><br><strong>Package List:</strong><br>1 * Microfiber Rug</span></p>","Anti Slip Fluff Cotton Large Floor Mat - Red"
"813","1495","<ul>
<li><span>Straight design</span></li>
<li><span>Tropical print</span></li>
<li><span>Elastic back waistband</span></li>
<li><span>Invisible side zip fastening</span></li>
</ul>
<table class=""data-table"" id=""product-attribute-specs-table"">
<tbody>
<tr class=""first odd"">
<th class=""label"">BRAND</th>
<td class=""data last"">Linci</td>
</tr>
<tr class=""even"">
<th class=""label"">TYPE</th>
<td class=""data last"">Trouser</td>
</tr>
<tr class=""odd"">
<th class=""label"">GENDER</th>
<td class=""data last"">Women</td>
</tr>
<tr class=""last even"">
<th class=""label"">WASH INSTRUCTION</th>
<td class=""data last"">MACHINE WASHING MAX 30C / 85F<br>DO NOT BLEACH<br>IRONING MAX 110C / 230F<br>DRY CLEAN<br>DO NOT TUMBLE DRY</td>
</tr>
</tbody>
</table>","Printed Straight Trouser - Tropical"
"814","1495","<ul>
<li><span>Fabric with linen</span></li>
<li><span>Straight design</span></li>
<li><span>Loops</span></li>
<li><span>Removable belt</span></li>
<li><span>Two side pockets</span></li>
<li><span>1 Pocket on the back</span></li>
</ul>","Straight Linen Blend Trouser - Sky Blue"
"815","1495","<span>Style : Woven.</span><br><span>Fit : Regular.</span><br><span>Design : Printed.</span><br><span>Material : 100% Polyester.</span><br><span>Sleeve Length : Long Sleeves.</span><br><span>Neckline : High Neck.</span><br><span>Occasion : Casual.</span>","Printed Top with Sleeves"
"816","995","<span>Style : Woven.</span><br><span>Fit : Regular.</span><br><span>Design : Printed.</span><br><span>Material : 100% Polyester.</span><br><span>Sleeve Length : Long Sleeves.</span><br><span>Neckline : High Neck.</span><br><span>Occasion : Casual.</span>","Printed Top with Sleeves - Blue Floral"
"817","995","<span>Style : Woven.</span><br><span>Fit : Regular.</span><br><span>Design : Printed.</span><br><span>Material : 100% Polyester.</span><br><span>Sleeve Length : Sleeve Less</span><br><span>Neckline : High</span><br><span>Occasion : Casual </span>","Sleeveless Printed Top - Feather Grey"
"818","1195","<span>Style : Woven.</span><br><span>Fit : Regular.</span><br><span>Design : Printed.</span><br><span>Material : 100% Polyester.</span><br><span>Sleeve Length : Sleeve Less</span><br><span>Neckline : High</span><br><span>Occasion : Casual </span>","Sleeveless Printed Top - Feather Pink"
"819","1595","<span>Style : Woven Plaids</span><br><span>Fit : Regular.</span><br><span>Design : Printed.</span><br><span>Material : 100% Polyester.</span><br><span>Sleeve Length : Full Sleeves </span><br><span>Neckline : Medium </span><br><span>Occasion : Casual </span>","Printed Top With Sleeves - Polka Peach"
"820","1590","<span>Style : Woven Plaids</span><br><span>Fit : Regular.</span><br><span>Design : Printed.</span><br><span>Material : 100% Polyester.</span><br><span>Sleeve Length : Sleeve Less </span><br><span>Neckline : Neck Off Shoulder </span><br><span>Occasion : Casual </span>","Off Shoulder Top - Blue"
"821","995","<span>Style : Woven Plaids</span><br><span>Fit : Regular.</span><br><span>Design : Printed.</span><br><span>Material : 100% Polyester.</span><br><span>Sleeve Length : Sleeve Less </span><br><span>Neckline : Neck Off Shoulder </span><br><span>Occasion : Casual </span>","Off Shoulder Printed Top - Blue"
"822","995","<span>Style : Woven </span><br><span>Fit : Regular.</span><br><span>Design : Printed.</span><br><span>Material : 100% Micro Fiber Cotton </span><br><span>Sleeve Length : Sleeve Less </span><br><span>Neckline : High </span><br><span>Occasion : Casual </span>","Sleeveless Printed Top - Black"
"823","1495","<span>Style : Woven </span><br><span>Fit : Regular.</span><br><span>Design : Dyed </span><br><span>Material : 100% Micro Fiber Cotton </span><br><span>Neckline : High </span><br><span>Occasion : Casual /Formal</span>","Dyed Formal Shirt - Yellow Lime"
"824","1695","<span>Style : Woven </span><br><span>Fit : Regular.</span><br><span>Design : Dyed </span><br><span>Material : 100% Micro Fiber Cotton </span><br><span>Sleeve Length : Sleeve Less </span><br><span>Neckline : High </span><br><span>Occasion : Casual </span>","Dyed Formal Top - Yellow Lime"
"825","800","<div>
<ul>
<li>High living bed pads are designed to provide maximum comfort, protection and confidence for the user. </li>
<li>The bed pad can be washed and reused up to 100 times.</li>
<li>The top layer is made to allow liquid to quickly pass through so that it will remain dry and comfortable for the user.</li>
<li>The liquid is locked away in the middle layers and the waterproof breathable backing, prevents penetration of the liquid to the mattress. </li>
<li>Anti allergy. </li>
<li>Skin protection. </li>
<li>Germs protection. </li>
<li>Highly absorbent.</li>
<li>Washable.</li>
<li>Perfect for adults &amp; kids. </li>
</ul>
<p><strong>Dime</strong><strong>nsions:</strong><span> </span>L-36.5 X W-33 Inches</p>
</div>
<div>
<ul class=""ProductOverviewInformation-list""></ul>
</div>","Water Proof Under Pad For Adults & KIds"
"826","700","<p class=""Paragraph_7t1aDK Paragraph_3MpN5s mb1 Overview_63GhZs mt2"" itemprop=""description"" tabindex=""0"">Protect your baby's sheets with the quilted BE Basics Sheet Saver Pad. Its quilting makes it comfy for your baby and its waterproof back means less crib sheet changing for you.</p>
<div data-locator=""pdp-productlongdescriptiontext"" class=""LongDescription_6sLdpf mt2"">
<ul>
<li>The quilted BE Basics Sheet Saver Pad with waterproof back will keep your little one comfy and protects sheets from accidents</li>
<li>Easily ties onto crib bars</li>
<li>Measures 14"" W x 28"" L</li>
<li>80% cotton/20% polyester</li>
<li>100% polyester fill</li>
<li>Machine wash</li>
<li>Imported</li>
</ul>
</div>","Water Proof Sheet Saver (Baby Cot Special)"
"827","1625","<table>
<tbody>
<tr>
<td>
<p>Brand</p>
</td>
<td>
<p>A&amp;A Home </p>
</td>
</tr>
<tr>
<td>
<p>Concept</p>
</td>
<td>
<p>3 PCs Stitched</p>
</td>
</tr>
<tr>
<td>
<p>Product Category</p>
</td>
<td>
<p>Home</p>
</td>
</tr>
<tr>
<td>
<p>Fabric</p>
</td>
<td>
<p>100% Cotton </p>
</td>
</tr>
<tr>
<td>
<p>Color Guarantee</p>
</td>
<td>
<p>100% Original Colors Up To 30 Washes  </p>
</td>
</tr>
<tr>
<td>
<p>Piece</p>
</td>
<td>
<p>2 Pillow Case + 1 King Bed Sheet </p>
</td>
</tr>
<tr>
<td>
<p>Design</p>
</td>
<td>
<p>Basic Printed</p>
</td>
</tr>
</tbody>
</table>
<p> </p>","Egyptian Cotton Bed Sheet - Bossa Nova"
"828","1375","<table>
<tbody>
<tr>
<td>
<p>Brand</p>
</td>
<td>
<p>A&amp;A Home </p>
</td>
</tr>
<tr>
<td>
<p>Concept</p>
</td>
<td>
<p>3 PCs Stitched</p>
</td>
</tr>
<tr>
<td>
<p>Product Category</p>
</td>
<td>
<p>Home</p>
</td>
</tr>
<tr>
<td>
<p>Fabric</p>
</td>
<td>
<p>100% Cotton </p>
</td>
</tr>
<tr>
<td>
<p>Color Guarantee</p>
</td>
<td>
<p>100% Original Colors Up To 30 Washes  </p>
</td>
</tr>
<tr>
<td>
<p>Piece</p>
</td>
<td>
<p>2 Pillow Case + 1 King Bed Sheet </p>
</td>
</tr>
<tr>
<td>
<p>Design</p>
</td>
<td>
<p>Basic Printed</p>
</td>
</tr>
</tbody>
</table>
<p> </p>","Egyptian Cotton Bed Sheet - Adorable Blooms"
"829","3750","<p><strong>Product Detail:</strong></p>
<section id=""content1"" class=""sample"">
<p>Kids - 3 PCs Filled Comforter Set</p>
<p><strong>Package Details: </strong></p>
<ul>
<li>1 Filled Comforter 60 x 95 INCH</li>
<li>
<span>1 </span><span>Printed Bed Sheet </span><span>60 x 95 INCH</span>
</li>
<li>1 Standard Pillow 19 x 29 INCH</li>
</ul>
<p><strong>Thread Count:</strong><span> </span>T-150</p>
<p><strong>Comforter Weight:<span> </span></strong>300 GSM With 100% Polyester Wadding</p>
</section>","Cartoon Character Comforter Set - Paw Patrol"
"830","3750","<p><strong>Product Detail:</strong></p>
<section id=""content1"" class=""sample"">
<p>Kids - 3 PCs Filled Comforter Set</p>
<p><strong>Package Details: </strong></p>
<ul>
<li>1 Filled Comforter 60 x 95 INCH</li>
<li>
<span>1 </span><span>Printed Bed Sheet </span><span>60 x 95 INCH</span>
</li>
<li>1 Standard Pillow 19 x 29 INCH</li>
</ul>
<p><strong>Thread Count:</strong><span> </span>T-150</p>
<p><strong>Comforter Weight:<span> </span></strong>300 GSM With 100% Polyester Wadding</p>
</section>","Cartoon Character Comforter Set - Thomas Train"
"831","3000","<p><strong>Product Detail:</strong></p>
<section id=""content1"" class=""sample"">
<p>Kids - 3 PCs Filled Comforter Set</p>
<p><strong>Package Details: </strong></p>
<ul>
<li>1 Filled Comforter 60 x 95 INCH</li>
<li>
<span>1 </span><span>Printed Bed Sheet </span><span>60 x 95 INCH</span>
</li>
<li>1 Standard Pillow 19 x 29 INCH</li>
</ul>
<p><strong>Thread Count:</strong><span> </span>T-150</p>
<p><strong>Comforter Weight:<span> </span></strong>300 GSM With 100% Polyester Wadding</p>
</section>
<section id=""content1"" class=""sample""></section>","Cartoon Character Comforter Set - Bob The Builder"
"832","1675","<p class=""heading_uppercase""><strong>PRODUCT DETAILS  </strong></p>
<ul>
<li>1 Bed sheet</li>
<li>1 Pillow covers</li>
<li>1 Applique Cushion Cover</li>
</ul>
<p class=""heading_lowercase""><strong>Fit &amp; Sizing</strong></p>
<ul>
<li>Single Sheet Dimension: 63"" X 95""</li>
<li>Pillow Cover Dimension: 16"" x 16""</li>
</ul>
<p class=""heading_lowercase""><strong>Material &amp; Care</strong></p>
<ul>
<li>HQ Cotton </li>
<li>Dry Clean</li>
<li>Hand wash</li>
</ul>","Cartoon Character 3 PCs Single Bed Sheet - Minion"
"833","1075","<p class=""heading_uppercase""><strong>PRODUCT DETAILS  </strong></p>
<ul>
<li>1 Bed sheet</li>
<li>1 Pillow covers</li>
<li>1 Cushion Cover</li>
</ul>
<p class=""heading_lowercase""><strong>Fit &amp; Sizing</strong></p>
<ul>
<li>Single Sheet Dimension: 63"" X 95""</li>
<li>Pillow Cover Dimension: 19"" x 29""</li>
</ul>
<p class=""heading_lowercase""><strong>Material &amp; Care</strong></p>
<ul>
<li>HQ Cotton </li>
<li>Dry Clean</li>
<li>Hand wash</li>
</ul>","Cartoon Character 3 PCs Single Bed Sheet - Mountain Bike"
"834","1475","<p class=""heading_uppercase""><strong>PRODUCT DETAILS  </strong></p>
<ul>
<li>1 Bed sheet</li>
<li>1 Pillow covers</li>
<li>1 Filled Shape Cushion </li>
</ul>
<p class=""heading_lowercase""><strong>Fit &amp; Sizing</strong></p>
<ul>
<li>Single Sheet Dimension: 63"" X 95""</li>
<li>Pillow Cover Dimension: 19"" x 29""</li>
<li>Cushion Covers Dimension: 16"" x 16""</li>
</ul>
<p class=""heading_lowercase""><strong>Material &amp; Care</strong></p>
<ul>
<li>HQ Cotton </li>
<li>Dry Clean</li>
<li>Hand wash</li>
</ul>","Cartoon Character 3 PCs Single Bed Sheet - Thomas"
"835","1475","<p class=""heading_uppercase""><strong>PRODUCT DETAILS  </strong></p>
<ul>
<li>1 Bed sheet</li>
<li>1 Pillow covers</li>
<li>1 Shape Cushion </li>
</ul>
<p class=""heading_lowercase""><strong>Fit &amp; Sizing</strong></p>
<ul>
<li>Single Sheet Dimension: 63"" X 95""</li>
<li>Pillow Cover Dimension: 19"" x 29""</li>
<li>Cushion Covers Dimension: 16"" x 16""</li>
</ul>
<p class=""heading_lowercase""><strong>Material &amp; Care</strong></p>
<ul>
<li>HQ Cotton </li>
<li>Dry Clean</li>
<li>Hand wash</li>
</ul>","Cartoon Character 3 PCs Single Bed Sheet - Dragon Ball"
"836","1475","<p class=""heading_uppercase""><strong>PRODUCT DETAILS  </strong></p>
<ul>
<li>1 Bed sheet</li>
<li>1 Pillow covers</li>
<li>1 Shape Cushion </li>
</ul>
<p class=""heading_lowercase""><strong>Fit &amp; Sizing</strong></p>
<ul>
<li>Single Sheet Dimension: 63"" X 95""</li>
<li>Pillow Cover Dimension: 19"" x 29""</li>
<li>Cushion Covers Dimension: 16"" x 16""</li>
</ul>
<p class=""heading_lowercase""><strong>Material &amp; Care</strong></p>
<ul>
<li>HQ Cotton </li>
<li>Dry Clean</li>
<li>Hand wash</li>
</ul>","Cartoon Character 3 PCs Single Bed Sheet - Harry"
"837","1575","<p><strong>A Lap to Soothe Mind,Body And Soul</strong></p>
<p><strong><img src=""https://www.swayamindia.com/img/cms/Info%20Icons/rich-traditional-design.png"" alt="""" width=""24"" height=""25""><span> </span>Modern Designs-<span> </span></strong>Modern Home Decoration.</p>
<p><strong><img src=""https://www.swayamindia.com/img/cms/Info%20Icons/thread-count.png"" alt="""" width=""24"" height=""25""><span> </span>Affordable Luxury-<span> </span></strong>Party Makeover.</p>
<p><strong><img src=""https://swayamindia.com/img/cms/Info%20Icons/multicolor.jpg"" width=""25"" height=""25"">Rotary Pigment Printing -<span> </span></strong>Vibrant Multi-Color.</p>
<p><strong><img src=""https://www.swayamindia.com/img/cms/Info%20Icons/100-color-fast.png"" alt="""" width=""24"" height=""25""><span> </span>Colorfast-<span> </span></strong>Newer for Longer.</p>
<table width=""495"" height=""182"">
<tbody>
<tr>
<td style=""width: 179px;"">
<p>Brand</p>
</td>
<td style=""width: 366px;"">Caam Home </td>
</tr>
<tr>
<td style=""width: 179px;"">
<p>Concept</p>
</td>
<td style=""width: 366px;"">
<p>3 PCs Stitched</p>
</td>
</tr>
<tr>
<td style=""width: 179px;"">
<p>Product Category</p>
</td>
<td style=""width: 366px;"">
<p>Home</p>
</td>
</tr>
<tr>
<td style=""width: 179px;"">
<p>Fabric Composition </p>
</td>
<td style=""width: 366px;"">
<p>100% Cotton </p>
</td>
</tr>
<tr>
<td style=""width: 179px;"">
<p>Color Guarantee</p>
</td>
<td style=""width: 366px;"">
<p>100% Original Colors Up To 10 Washes  </p>
</td>
</tr>
<tr>
<td style=""width: 179px;"">
<p>Package Include</p>
</td>
<td style=""width: 366px;"">
<p>2 Pillow Case + 1 King Bed Sheet </p>
</td>
</tr>
<tr>
<td style=""width: 179px;"">
<p>Size</p>
</td>
<td style=""width: 366px;"">
<p><b>Bed Sheet</b><strong>: </strong><span>95 in x 102 Inches, </span></p>
<p><strong>Pillow Cover: </strong><span>19 in x 29 Inches</span></p>
</td>
</tr>
</tbody>
</table>
<p> </p>","Duck Cotton Zeen Bed Sheet - Triad"
"838","1015","<div><span><strong>Fitted Sheet 100% Organic Cotton Mattress Cover Corner with Elastic Band Bed Sheet</strong></span></div>
<div><strong></strong></div>
<div>
<strong>Material:<span> </span></strong>100% Cotton</div>
<div>
<strong>Mattress Size:<span> </span></strong>Fit To Single Bed Sheet ( 42 x 78 + 10 Inches) </div>
<div>
<strong>Drop Size:<span> </span></strong>Sheet Fits To 6 - 13 Inches Mattress Thickness </div>
<div>
<strong>Pillow Size:<span> </span></strong>19 x 29 Inches<strong> </strong>
</div>
<div>
<strong>Package Includes:<span> </span></strong>1 x Fitted Bed Sheet + 1 x Pillow Covers </div>
<div><strong></strong></div>
<div>
<b>Features :</b><br>1. High quality 100% cotton fabric, soft and skin-health.<br>2. Can be used for top grade home bedding theme hotel etc.<br>3. Durable and breathable, fade less and no odor</div>","Cartoon Fitted Sheet - Grey Self"
"839","1015","<div><span><strong>Fitted Sheet 100% Organic Cotton Mattress Cover Corner with Elastic Band Bed Sheet</strong></span></div>
<div><strong></strong></div>
<div>
<strong>Material:<span> </span></strong>100% Cotton</div>
<div>
<strong>Mattress Size:<span> </span></strong>Fit To Single Bed Sheet ( 42 x 78 + 10 Inches) </div>
<div>
<strong>Drop Size:<span> </span></strong>Sheet Fits To 6 - 13 Inches Mattress Thickness </div>
<div>
<strong>Pillow Size:<span> </span></strong>19 x 29 Inches<strong> </strong>
</div>
<div>
<strong>Package Includes:<span> </span></strong>1 x Fitted Bed Sheet + 1 x Pillow Covers </div>
<div><strong></strong></div>
<div>
<b>Features :</b><br>1. High quality 100% cotton fabric, soft and skin-health.<br>2. Can be used for top grade home bedding theme hotel etc.<br>3. Durable and breathable, fade less and no odor</div>","Cartoon Fitted Sheet - Golden Dotted"
"840","1015","<div><span><strong>Fitted Sheet 100% Organic Cotton Mattress Cover Corner with Elastic Band Bed Sheet</strong></span></div>
<div><strong></strong></div>
<div>
<strong>Material:<span> </span></strong>100% Cotton</div>
<div>
<strong>Mattress Size:<span> </span></strong>Fit To Single Bed Sheet ( 42 x 78 + 10 Inches) </div>
<div>
<strong>Drop Size:<span> </span></strong>Sheet Fits To 6 - 13 Inches Mattress Thickness </div>
<div>
<strong>Pillow Size:<span> </span></strong>19 x 29 Inches<strong> </strong>
</div>
<div>
<strong>Package Includes:<span> </span></strong>1 x Fitted Bed Sheet + 1 x Pillow Covers </div>
<div><strong></strong></div>
<div>
<b>Features :</b><br>1. High quality 100% cotton fabric, soft and skin-health.<br>2. Can be used for top grade home bedding theme hotel etc.<br>3. Durable and breathable, fade less and no odor</div>","Cartoon Fitted Sheet - Pink Dotted"
"841","1015","<div><span><strong>Fitted Sheet 100% Organic Cotton Mattress Cover Corner with Elastic Band Bed Sheet</strong></span></div>
<div><strong></strong></div>
<div>
<strong>Material:<span> </span></strong>100% Cotton</div>
<div>
<strong>Mattress Size:<span> </span></strong>Fit To Single Bed Sheet ( 42 x 78 + 10 Inches) </div>
<div>
<strong>Drop Size:<span> </span></strong>Sheet Fits To 6 - 13 Inches Mattress Thickness </div>
<div>
<strong>Pillow Size:<span> </span></strong>19 x 29 Inches<strong> </strong>
</div>
<div>
<strong>Package Includes:<span> </span></strong>1 x Fitted Bed Sheet + 1 x Pillow Covers </div>
<div><strong></strong></div>
<div>
<b>Features :</b><br>1. High quality 100% cotton fabric, soft and skin-health.<br>2. Can be used for top grade home bedding theme hotel etc.<br>3. Durable and breathable, fade less and no odor</div>","Cartoon Fitted Sheet - Multi Dotted"
